ate,open,high,low,close,volume,barCount,average
2022-01-31 16:58:00,22.955,23.015,22.945,22.955,-1,-1,-1.0
2022-01-31 16:59:00,22.955,23.025,22.955,22.995,-1,-1,-1.0
2022-01-31 17:00:00,22.995,23.0,22.895,22.965,-1,-1,-1.0
2022-01-31 17:01:00,22.965,22.965,22.825,22.845,-1,-1,-1.0
2022-01-31 17:02:00,22.845,22.965,22.825,22.915,-1,-1,-1.0
2022-01-31 17:03:00,22.915,22.945,22.885,22.915,-1,-1,-1.0
2022-01-31 17:04:00,22.915,22.915,22.835,22.835,-1,-1,-1.0
2022-01-31 17:05:00,22.835,22.895,22.785,22.885,-1,-1,-1.0
2022-01-31 17:06:00,22.885,23.035,22.885,23.015,-1,-1,-1.0
2022-01-31 17:07:00,23.015,23.145,23.015,23.135,-1,-1,-1.0
2022-01-31 17:08:00,23.135,23.265,23.125,23.255,-1,-1,-1.0
2022-01-31 17:09:00,23.255,23.335,23.235,23.325,-1,-1,-1.0
2022-01-31 17:10:00,23.325,23.335,23.215,23.255,-1,-1,-1.0
2022-01-31 17:11:00,23.255,23.305,23.225,23.275,-1,-1,-1.0
2022-01-31 17:12:00,23.275,23.285,23.245,23.265,-1,-1,-1.0
2022-01-31 17:13:00,23.265,23.335,23.255,23.305,-1,-1,-1.0
2022-01-31 17:14:00,23.305,23.335,23.275,23.305,-1,-1,-1.0
2022-01-31 17:15:00,23.305,23.325,23.265,23.315,-1,-1,-1.0
2022-01-31 17:16:00,23.315,23.385,23.295,23.325,-1,-1,-1.0
2022-01-31 17:17:00,23.325,23.345,23.295,23.315,-1,-1,-1.0
2022-01-31 17:18:00,23.315,23.415,23.3,23.345,-1,-1,-1.0
2022-01-31 17:19:00,23.345,23.345,23.245,23.255,-1,-1,-1.0
2022-01-31 17:20:00,23.255,23.285,23.205,23.215,-1,-1,-1.0
2022-01-31 17:21:00,23.215,23.295,23.215,23.295,-1,-1,-1.0
2022-01-31 17:22:00,23.295,23.515,23.295,23.505,-1,-1,-1.0
2022-01-31 17:23:00,23.505,23.505,23.405,23.415,-1,-1,-1.0
2022-01-31 17:24:00,23.415,23.435,23.365,23.405,-1,-1,-1.0
2022-01-31 17:25:00,23.405,23.495,23.405,23.485,-1,-1,-1.0
2022-01-31 17:26:00,23.485,23.485,23.425,23.445,-1,-1,-1.0
2022-01-31 17:27:00,23.445,23.445,23.285,23.355,-1,-1,-1.0
2022-01-31 17:28:00,23.355,23.365,23.255,23.315,-1,-1,-1.0
