
ticker=NIO, epochs=18, units=46, prediction_days=66, dense_units=0.2,     ratio=[0.778464]
ticker=RIOT, epochs=18, units=43, prediction_days=70, dense_units=0.2,     ratio=[0.7459082]
ticker=NIO, epochs=25, units=45, prediction_days=31, dense_units=0.2,     ratio=[0.8430019]
ticker=NIO, epochs=23, units=40, prediction_days=55, dense_units=0.2,     ratio=[0.80036014]
ticker=NIO, epochs=18, units=38, prediction_days=48, dense_units=0.2,     ratio=[0.80324614]
ticker=RIOT, epochs=27, units=36, prediction_days=29, dense_units=0.2,     ratio=[0.8792671]
ticker=RIOT, epochs=29, units=20, prediction_days=35, dense_units=0.2,     ratio=[0.8776544]
ticker=NIO, epochs=11, units=48, prediction_days=59, dense_units=0.2,     ratio=[0.8134277]
ticker=RIOT, epochs=16, units=50, prediction_days=56, dense_units=0.2,     ratio=[0.8345822]
ticker=RIOT, epochs=16, units=21, prediction_days=68, dense_units=0.2,     ratio=[0.68946725]
ticker=RIOT, epochs=27, units=42, prediction_days=29, dense_units=0.2,     ratio=[0.74414974]
ticker=NIO, epochs=14, units=38, prediction_days=18, dense_units=0.2,     ratio=[0.87154686]
ticker=NIO, epochs=10, units=48, prediction_days=52, dense_units=0.2,     ratio=[0.82062095]
ticker=NIO, epochs=11, units=42, prediction_days=68, dense_units=0.2,     ratio=[0.75209856]
ticker=RIOT, epochs=26, units=27, prediction_days=10, dense_units=0.2,     ratio=[0.8961403]
ticker=RIOT, epochs=30, units=59, prediction_days=51, dense_units=0.2,     ratio=[0.79971546]
ticker=RIOT, epochs=12, units=47, prediction_days=17, dense_units=0.2,     ratio=[0.9319788]
ticker=RIOT, epochs=14, units=41, prediction_days=68, dense_units=0.2,     ratio=[0.7205776]
ticker=NIO, epochs=21, units=26, prediction_days=54, dense_units=0.2,     ratio=[0.7845036]
ticker=RIOT, epochs=21, units=32, prediction_days=40, dense_units=0.2,     ratio=[0.74868923]
ticker=RIOT, epochs=12, units=28, prediction_days=30, dense_units=0.2,     ratio=[0.76189715]
ticker=RIOT, epochs=26, units=26, prediction_days=30, dense_units=0.2,     ratio=[0.77634424]
ticker=RIOT, epochs=25, units=26, prediction_days=47, dense_units=0.2,     ratio=[0.83976305]
ticker=RIOT, epochs=21, units=25, prediction_days=36, dense_units=0.2,     ratio=[0.8383356]
ticker=NIO, epochs=12, units=26, prediction_days=64, dense_units=0.2,     ratio=[0.75672114]
ticker=RIOT, epochs=21, units=51, prediction_days=14, dense_units=0.2,     ratio=[0.8357791]
ticker=RIOT, epochs=11, units=24, prediction_days=8, dense_units=0.2,     ratio=[0.73559165]
ticker=NIO, epochs=12, units=39, prediction_days=15, dense_units=0.2,     ratio=[0.9074039]
ticker=RIOT, epochs=14, units=45, prediction_days=59, dense_units=0.2,     ratio=[0.74644]
ticker=RIOT, epochs=29, units=43, prediction_days=27, dense_units=0.2,     ratio=[0.6319185]
